customer_id,city,state,zip,entity_type,naics,branch_id,officer_id
cif_cust_id_00001,ASHLAND                       ,OR        ,975209552,Business,323110,branch_id_05,officer_id_069
cif_cust_id_00002,ASHLAND                       ,OR        ,975203118,Limited Liability Corp,551112,branch_id_03,officer_id_032
cif_cust_id_00003,MEDFORD                       ,OR        ,975019542,Corporation,5313,branch_id_05,officer_id_051
cif_cust_id_00004,MEDFORD                       ,OR        ,975044341,Limited Liability Corp,531110,branch_id_04,officer_id_069
cif_cust_id_00005,ASHLAND                       ,OR        ,975201841,Limited Liability Corp,531,branch_id_03,officer_id_051
cif_cust_id_00006,ALBANY                        ,OR        ,973227093,Limited Liability Corp,531120,branch_id_02,officer_id_069
cif_cust_id_00007,GLADSTONE                     ,OR        ,970271462,Limited Liability Corp,0,branch_id_18,officer_id_069
cif_cust_id_00008,TALENT                        ,OR        ,975407853,Limited Liability Corp,721199,branch_id_04,officer_id_010
cif_cust_id_00009,ALBANY                        ,OR        ,973219308,Limited Liability Corp,531120,branch_id_02,officer_id_044
cif_cust_id_00010,MEDFORD                       ,OR        ,975049362,Limited Liability Corp,531110,branch_id_05,officer_id_027
cif_cust_id_00011,ASHLAND                       ,OR        ,975209693,Limited Liability Corp,531110,branch_id_03,officer_id_069
cif_cust_id_00012,ALBANY                        ,OR        ,973219308,Limited Liability Corp,531120,branch_id_02,officer_id_044
cif_cust_id_00013,ALBANY                        ,OR        ,973223912,Limited Liability Corp,531110,branch_id_02,officer_id_044
cif_cust_id_00014,MEDFORD                       ,OR        ,975049680,DBA,531311,branch_id_05,officer_id_012
cif_cust_id_00015,ASHLAND                       ,OR        ,975201947,Limited Liability Corp,423990,branch_id_03,officer_id_051
cif_cust_id_00016,GRANTS PASS                   ,OR        ,975262814,Limited Liability Corp,0,branch_id_10,officer_id_069
cif_cust_id_00017,GRANTS PASS                   ,OR        ,975262814,Limited Liability Corp,531390,branch_id_10,officer_id_030
cif_cust_id_00018,GRANTS PASS                   ,OR        ,975279455,Limited Liability Corp,111998,branch_id_05,officer_id_069
cif_cust_id_00019,GRANTS PASS                   ,OR        ,975279296,Limited Liability Corp,531390,branch_id_04,officer_id_069
cif_cust_id_00020,ASHLAND                       ,OR        ,975202414,Limited Liability Corp,812199,branch_id_03,officer_id_051
cif_cust_id_00021,ASHLAND                       ,OR        ,975202329,Limited Liability Corp,531120,branch_id_03,officer_id_032
cif_cust_id_00022,EAGLE                         ,OR        ,97539,Limited Liability Corp,531312,branch_id_05,officer_id_069
cif_cust_id_00023,MEDFORD                       ,OR        ,975018948,Trust,525920,branch_id_04,officer_id_010
cif_cust_id_00024,MEDFORD                       ,OR        ,975047749,Trust,0,branch_id_04,officer_id_069
cif_cust_id_00025,MEDFORD                       ,OR        ,975049343,No Entity Type Assigned,423710,branch_id_04,officer_id_069
cif_cust_id_00026,MEDFORD                       ,OR        ,975012403,Limited Liability Corp,922160,branch_id_04,officer_id_010
cif_cust_id_00027,GRANTS PASS                   ,OR        ,975263992,Corporation,321911,branch_id_10,officer_id_019
cif_cust_id_00028,CENTRAL POINT                 ,OR        ,975022007,Limited Liability Corp,531300,branch_id_06,officer_id_069
cif_cust_id_00029,ASHLAND                       ,OR        ,975207318,Trust,525920,branch_id_03,officer_id_069
cif_cust_id_00030,MONTAGUE                      ,CA        ,960649458,Trust,0,branch_id_07,officer_id_011
cif_cust_id_00031,CENTRAL POINT                 ,OR        ,975021907,Trust,523920,branch_id_06,officer_id_062
cif_cust_id_00032,MEDFORD                       ,OR        ,975049309,Trust,525920,branch_id_04,officer_id_069
cif_cust_id_00033,ASHLAND                       ,OR        ,975202113,Trust,525920,branch_id_03,officer_id_009
cif_cust_id_00034,OREGON CITY                   ,OR        ,970457412,Limited Liability Corp,0,branch_id_05,officer_id_069
cif_cust_id_00035,MEDFORD                       ,OR        ,975047757,Limited Liability Corp,0,branch_id_22,officer_id_069
