loan_id,collateral_type,city,state,zip,value,vehicle_year,vehicle_make,vehicle_model,cross_foot,insurable_value
loan_id_0155,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_0452,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_2014,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_2046,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_0213,1110, , , ,"$2,318,606.00 ", , , ,$0.00 ,$0.00 
loan_id_0773,1110,GRANTS PASS,OR,97526,$0.00 , , , ,$0.00 ,$0.00 
loan_id_2230,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_1440,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_1771,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_0733,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_2016,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_2015,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_1564,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_1771,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_1771,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_0733,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_2073,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_0277,1110, , , ,$0.00 , , , ,$0.00 ,$0.00 
loan_id_2009,1125,CAVE JUNCTION,OR,97523,"$1,630,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0099,1125,ST PAUL,OR,97137,"$5,600,000.00 ", , , ,$0.00 ,"$1,174,959.00 "
loan_id_0109,1125,MEDFORD,OR,97504,"$4,000,000.00 ", , , ,$0.00 ,"$500,000.00 "
loan_id_0941,1125,MOLALLA,OR,97038,"$1,330,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0942,1125,MOLALLA,OR,97038,"$1,330,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0099,1125, ,ID, ,$0.00 , , , ,$0.00 ,"$117,200.00 "
loan_id_1893,1125,BROWNSVILLE,OR,97327,"$2,700,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1851,1125, ,OR, ,"$1,100,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1859,1125,LOSTINE,OR,97857,"$281,400.00 ", , , ,$0.00 ,$0.00 
loan_id_0110,1125,PHOENIX,OR,97535,"$735,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0099,1125,ST PAUL,OR,97137,"$850,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0697,1125,BROWNSVILLE,OR,97327,"$1,720,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0099,1125,SAINT PAUL,OR, ,"$1,800,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1463,1140,MEDFORD,OR,97501,"$320,588.00 ", , , ,$0.00 ,"$247,588.00 "
loan_id_1454,1140,MEDFORD,OR,97501,"$350,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1453,1140, ,OR,97501,"$350,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1457,1140,MEDFORD,OR,97501,"$350,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1456,1140,MEDFORD,OR,97501,"$350,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1445,1140,MEDFORD,OR,97501,"$320,588.00 ", , , ,$0.00 ,"$247,588.00 "
loan_id_1983,1140,EAGLE POINT,OR,97524,"$492,000.00 ", , , ,$0.00 ,"$397,426.00 "
loan_id_1668,1140,EUGENE,OR,97405,"$796,490.00 ", , , ,$0.00 ,"$665,490.00 "
loan_id_1973,1141,CENTRAL POINT,OR,97502,"$575,000.00 ", , , ,$0.00 ,"$504,200.00 "
loan_id_1974,1141,CENTRAL POINT,OR,97502,"$575,000.00 ", , , ,$0.00 ,"$504,200.00 "
loan_id_1972,1141,CENTRAL POINT,OR,97502,"$575,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1122,1141,ASHLAND,OR,97520,"$752,000.00 ", , , ,$0.00 ,"$530,000.00 "
loan_id_2181,1141,EAGLE POINT,OR,97524,"$420,000.00 ", , , ,$0.00 ,"$343,689.00 "
loan_id_1121,1141,ASHLAND,OR,97520,"$775,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1455,1141,MEDFORD,OR,97501,"$350,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1459,1141,MEDFORD,OR,97501,"$350,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1460,1141,MEDFORD,OR,97501,"$283,834.00 ", , , ,$0.00 ,$0.00 
loan_id_1452,1141,MEDFORD,OR,97501,"$215,000.00 ", , , ,$0.00 ,"$174,078.00 "
loan_id_1969,1141,CENTRAL POINT,OR,97502,"$470,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1970,1141,CENTRAL POINT,OR,97502,"$470,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1968,1141,CENTRAL POINT,OR,97502,"$470,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0945,1144,EUGENE ,OR,97404,"$705,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0662,1144,GRANTS PASS,OR,97527,"$915,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0973,1144,MEDFORD,OR,97501,"$1,495,000.00 ", , , ,$0.00 ,"$330,746.00 "
loan_id_2312,1144,CENTRAL POINT,OR,97502,"$5,100,000.00 ", , , ,$0.00 ,$0.00 
loan_id_2037,1144,MEDFORD,OR,97501,"$1,280,000.00 ", , , ,$0.00 ,$0.00 
loan_id_0001,1145,MEDFORD,OR,97501,"$365,000.00 ", , , ,"$1,242,920.00 ",$0.00 
loan_id_0372,1145,IDANHA ,OR,97350,"$51,000.00 ", , , ,$0.00 ,$0.00 
loan_id_2370,1146,SALEM,OR,97317,"$1,540,000.00 ", , , ,$0.00 ,"$1,200,000.00 "
loan_id_0919,1146,GRANTS PASS,OR,97526,"$2,860,000.00 ", , , ,$0.00 ,"$1,300,000.00 "
loan_id_0448,1148,KLAMATH FALLS,OR,97601,"$105,000.00 ", , , ,"$290,000.00 ","$400,312.00 "
loan_id_0179,1148,MYRTLE CREEK,OR,97457,"$415,000.00 ", , , ,$0.00 ,"$337,748.00 "
loan_id_1766,1148,WHITE CITY,OR,97503,"$2,150,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1305,1148,DRAIN,OR,97435,"$367,500.00 ", , , ,$0.00 ,"$220,553.00 "
loan_id_0802,1148,GRANTS PASS,OR,97526,"$450,000.00 ", , , ,$0.00 ,$0.00 
loan_id_1471,1148,EUGENE ,OR,97401,"$405,000.00 ", , , ,$0.00 ,"$317,096.00 "
loan_id_1547,1148,MEDFORD,OR,97504,"$600,000.00 ", , , ,$0.00 ,$0.00 
