customer_id,loan_id,report_code,current_balance,interest_due,interest_rate,next_payment,maturity_date,regular_payment,escrow_payment,letter_of_credit,balloon_date,branch_id,igl,term_of_note,payment_frequency,participation_code,payment_type,balloon_loan_indicator,balloon_loan_term,purpose_code,original_principal,committed_liability,original_loan_amount,revolving_indicator,principal_paid_mtd,interest_paid_mtd,interest_paid_qtd,interest_paid_ltd,interest_accrued_ytd,interest_accrued_qtd,remaining_installments,officer_id,date_on_file,note_date,date_interest_begin,first_payment_date,date_last_renewal,interest_paid_through_date,misc_fees_balance,payoff_date,payoff_amount,prepayment_type,prepayment_paid,rate_index,rate_review_date,rate_review_interval,accrual_method,original_interest_rate,index_rate_at_last_review,original_index,new_interest_rate_pending,date_new_rate_effective,rate_change_date,rate_margin,periodic_rate_increase_limit,periodic_rate_decrease_limit,rate_floor,rate_ceiling,escrow_balance,late_charge_code,late_charge_percentage,minimum_late_charge,maximum_late_charge,late_charge_waived_jan,late_charge_waived_feb,late_charge_waived_mar,late_charge_waived_apr,late_charge_waived_may,late_charge_waived_jun,late_charge_waived_jul,late_charge_waived_aug,late_charge_waived_sept,late_charge_waived_oct,late_charge_waived_nov,late_charge_waived_dec,late_charge_paid_jan,late_charge_paid_feb,late_charge_paid_mar,late_charge_paid_apr,late_charge_paid_may,late_charge_paid_jun,late_charge_paid_jul,late_charge_paid_aug,late_charge_paid_sept,late_charge_paid_oct,late_charge_paid_nov,late_charge_paid_dec,deferred_int,deferred_int_expiration_date,late_charges_paid_ltd,date_last_delinquent,late_charges_paid_ytd,late_charges_waived_ytd,total_amount_delinquent,l12_05_days_delinquent,l12_10_days_delinquent,l12_15_days_delinquent,l12_30_days_delinquent,l12_60_days_delinquent,l12_90_days_delinquent,l12_120_days_delinquent,charge_off_code,previous_charge_off_code,unrec_income_at_nonaccrual_ltd,unrec_income_at_nonaccrual_ytd,unrec_income_since_nonaccrual_ltd,unrec_income_since_nonaccrual_ytd,bank_principal,bank_interest,bank_late_charge,bank_interest_paid_charge_off,bank_principal_mtd,bank_interest_mtd,bank_principal_ytd,bank_interest_ytd,bank_principal_ltd,bank_interest_ltd,current_risk_code,original_risk_code,special_participation_code,fasb_unamortized_balance,fasb_cost_unamortized_balance2,fasb_net_unamortized_balance3,fasb_net_unamortized_balance4,cra_annual_sales,dti,flood_zone,cra_state,sba_guarantee_percent,sba_lenders_fee,account_status,city,state,zip
cif_cust_id_01450,loan_id_0156,Commercial,0,0,0,,1/1/2049,0,0,0,,branch_id_10,, ,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,12/7/2023,12/7/2023,12/7/2023,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,ENTERPRISE ,OR,978281331
cif_cust_id_02260,loan_id_0278,Commercial,0,0,0,,5/8/2044,0,0,0,,branch_id_10,,M360,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,3/29/2022,3/2/2022,3/2/2022,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,ENTERPRISE ,OR,978281331
cif_cust_id_03766,loan_id_0452,Commercial,0,0,0,,2/1/2041,0,0,0,,branch_id_10,,M240,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,3/29/2022,3/1/2022,3/1/2022,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,MEDFORD ,OR,975011409
cif_cust_id_06391,loan_id_0734,Commercial,0,0,0,,11/1/2042,0,0,0,,branch_id_10,, ,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,9/6/2023,7/13/2023,7/13/2023,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,MEDFORD ,OR,975011409
cif_cust_id_06432,loan_id_0766,Commercial,0,0,0,,8/23/2025,0,0,0,,branch_id_10,, ,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,9/19/2024,8/23/2024,8/23/2024,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,WHITE CITY ,OR,975031923
cif_cust_id_06476,loan_id_0774,Commercial,0,0,0,,7/25/2043,0,0,0,,branch_id_10,, ,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,8/4/2023,7/25/2023,7/25/2023,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,ENTERPRISE ,OR,978281331
cif_cust_id_13941,loan_id_1441,Commercial,0,0,0,,6/11/2050,0,0,0,,branch_id_10,,M360,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,3/28/2022,6/11/2020,6/11/2020,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,MEDFORD ,OR,975011409
cif_cust_id_13952,loan_id_1466,Commercial,0,0,0,,3/27/2026,0,0,0,,branch_id_10,, ,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,9/11/2024,9/11/2024,9/11/2024,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,ASHLAND ,OR,975202336
cif_cust_id_14391,loan_id_1565,Commercial,0,0,0,,8/1/2050,0,0,0,,branch_id_10,,M300,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,7/23/2025,7/23/2025,7/23/2025,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,ENTERPRISE ,OR,978281331
cif_cust_id_16203,loan_id_1772,Commercial,0,0,0,,2/17/2047,0,0,0,,branch_id_10,,M300,Not Defined,0,, ,0,,0,0,0,Installment,0,0,0,0,0,0,0,officer_id_020,3/29/2022,2/18/2022,2/18/2022,,,,0,,0,No Prepayment Penatly,0,Fixed,, ,365/365,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0, , ,0,0,Open,ENTERPRISE ,OR,978281331
