customer_id,account_id,account_status,checks_returned_last_year,checks_returned_this_year,account_closed_reason,current_rate,date_last_deposit,date_open,date_overdrawn_closed,date_reopened,days_nsf_since_open,branch_id,officer_id,igl,interest_paid_this_statement,nsf_items_paid_last_statement,nsf_items_paid_current_std,nsf_items_retuned_last_statement,nsf_items_returned_current_statement,number_days_od_current_statement,overdraft_days_last_statement,overdraft_days_since_open,account_type,accured_interest,average_bal_6_statements_ago,average_bal_12_statements_ago,average_bal_last_statement,current_balance,daily_interest,interest_paid_last_statement,interest_paid_last_year,interest_paid_this_year,minimum_balance_last_statement,minimum_balance_this_statement,nsf_charges_1_statement_ago,nsf_charges_2_statement_ago,nsf_charges_3_statement_ago,nsf_charges_waived_1_statement_ago,nsf_charges_waived_2_statement_ago,nsf_charges_waived_3_statement_ago,nsf_fees_refunded_last_year,nsf_fees_refunded_month_to_date,nsf_fees_refunded_statement_to_date,nsf_fees_refunded_year_to_date,other_fees_1_statement_ago,other_fees_2_statement_ago,other_fees_3_statement_ago,other_fees_refunded_mtd,other_fees_refunded_statement_too_date,other_fees_refunded_year_to_date,other_fees_returned_last_year,other_fees_waived_1_statement_ago,other_fees_waived_2_statement_ago,other_fees_waived_3_statement_ago,sc_fees_refunded_last_year,sc_fees_refunded_month_to_date,sc_fees_refunded_statement_to_date,sc_fees_refunded_year_to_date,city,state,zip
cif_cust_id_00002,dda_acct_id_00001, ,0,0,,0,4/16/2026,4/15/2026,,,0,branch_id_03,officer_id_032,2,0,0,0,0,0,0,0,0,Commercial,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASHLAND                                 ,OR,97520_3118
cif_cust_id_11651,dda_acct_id_00002, ,0,0,,0,4/20/2026,10/9/2024,,,0,branch_id_04,officer_id_010,2,0,0,0,0,0,0,0,0,Commercial,0,3707,4721,5381,3140.18,0,0,0,0,4329,2627.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TALENT                                  ,OR,97540_6653
cif_cust_id_00003,dda_acct_id_00003, ,0,0,,0,4/20/2026,10/9/2018,,,0,branch_id_05,officer_id_061,2,0,0,0,0,0,0,0,0,Commercial,0,3908,4249,4563,2247.66,0,0,0,0,1759,1003.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,97501_9542
cif_cust_id_00004,dda_acct_id_00004, ,0,0,,0,4/10/2026,10/25/2017,,,0,branch_id_04,officer_id_032,2,0,0,0,0,0,0,0,0,Commercial,0,53300,55605,35150,37420.18,0,0,0,0,30339,33297.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,97504_4341
cif_cust_id_00005,dda_acct_id_00005, ,0,0,,0.03,4/14/2026,2/1/2018,,,0,branch_id_03,officer_id_009,8,0,0,0,0,0,0,0,0,Commercial,0.46,9904,25217,19974,34763.88,0.03,0.53,12.06,2.17,12550,16263.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASHLAND                                 ,OR,97520_1841
cif_cust_id_11652,dda_acct_id_00006, ,0,0,,0,4/13/2026,5/4/2022,,,0,branch_id_02,officer_id_002,2,0,0,0,0,0,0,0,8,Commercial,0,3604,5403,8477,10931.69,0,0,0,0,7114,8690.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALBANY                                  ,OR,97321_3217
cif_cust_id_00006,dda_acct_id_00007, ,0,0,,0,4/15/2026,3/19/2019,,,0,branch_id_02,officer_id_064,2,0,0,0,0,0,0,0,0,Commercial,0,23811,23226,24860,26304.91,0,0,0,0,23377,24304.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALBANY                                  ,OR,97322_7093
cif_cust_id_00008,dda_acct_id_00008,File Maintenance Today,0,0,,0,4/23/2026,10/9/2024,,,0,branch_id_04,officer_id_010,2,0,0,0,0,0,0,0,0,Commercial,0,6324,5781,4081,3788.07,0,0,0,0,1288,2288.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TALENT                                  ,OR,97540_7853
cif_cust_id_00009,dda_acct_id_00009, ,0,0,,0,4/1/2026,8/13/2018,,,1,branch_id_02,officer_id_002,2,0,0,0,0,0,0,0,1,Commercial,0,21506,11970,2168,22884.67,0,0,0,0,1500,22884.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALBANY                                  ,OR,97321_275
cif_cust_id_00010,dda_acct_id_00010, ,0,0,,0,3/27/2026,3/29/2024,,,0,branch_id_05,officer_id_012,2,0,0,0,0,0,0,0,0,Commercial,0,45239,117002,509448,351236.82,0,0,0,0,501108,351236.82,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,MEDFORD                                 ,OR,97504_6772
